Position,Artist,Song Title
1,Sgt. Barry Sadler,The Ballad Of The Green Berets
2,Association,Cherish
3,Righteous Brothers,(You're My) Soul And Inspiration
4,Four Tops,Reach Out I'll Be There
5,? and The Mysterians,96 Tears
6,Monkees,Last Train To Clarksville
7,Mama's and The Papa's,"Monday, Monday"
8,Supremes,You Can't Hurry Love
9,Johnny Rivers,Poor Side Of Town
10,Mama's and The Papa's,California Dreamin'
11,Lovin' Spoonful,Summer In The City
12,Roger Williams,Born Free
13,Nancy Sinatra,These Boots Are Made For Walkin'
14,Jimmy Ruffin,What Becomes Of The Brokenhearted
15,Frank Sinatra,Strangers In The Night
16,Beatles,We Can Work It Out
17,Young Rascals,Good Lovin'
18,New Vaudeville Band,Winchester Cathedral
19,Tommy James and The Shondells,Hanky Panky
20,Percy Sledge,When A Man Loves A Woman
21,Rolling Stones,Paint It Black
22,Petula Clark,My Love
23,Lou Christie,Lightnin' Strikes
24,Troggs,Wild Thing
25,Paul Revere and The Raiders,Kicks
26,Donovan,Sunshine Superman
27,Bobby Hebb,Sunny
28,Beatles,Paperback Writer
29,Happenings,See You In September
30,Supremes,You Keep Me Hangin' On
31,Sam The Sham and The Pharaohs,Lil' Red Riding Hood
32,Mitch Ryder and The Detroit Wheels,Devil With A Blue Dress On and Good Golly Miss Molly (Medley)
33,Beach Boys,Good Vibrations
34,Mindbenders,A Groovy Kind Of Love
35,Dusty Springfield,You Don't Have To Say You Love Me
36,Capitols,Cool Jerk
37,Sandy Posey,Born A Woman
38,Cyrkle,Red Rubber Ball
39,Carla Thomas,B-A-B-Y
40,Left Banke,Walk Away Renee
41,Lovin' Spoonful,Daydream
42,Outsiders,Time Won't Let Me
43,Tommy Roe,Hooray For Hazel
44,Tommy Roe,Sweet Pea
45,Hollies,Bus Stop
46,James and Bobby Purify,I'm Your Puppet
47,B.J. Thomas and The Triumphs,I'm So Lonesome I Could Cry
48,Temptations,Ain't Too Proud To Beg
49,Standells,Dirty Water
50,Bob Lind,Elusive Butterfly
51,Simon and Garfunkel,I Am A Rock
52,Ray Charles,Crying Time
53,Johnny Rivers,Secret Agent Man
54,Simon and Garfunkel,The Sounds Of Silence
55,Peter and Gordon,Lady Godiva
56,Simon and Garfunkel,Homeward Bound
57,Lovin' Spoonful,Did You Ever Have To Make Up Your Mind?
58,Robert Parker,Barefootin'
59,Stevie Wonder,Uptight (Everything's Alright)
60,Cher,Bang Bang
61,Beach Boys,Sloop John B
62,Rolling Stones,19th Nervous Breakdown
63,Surfaris,Wipe Out
64,Count Five,Psychotic Reaction
65,Temptations,Beauty Is Only Skin Deep
66,T-Bones,No Matter What Shape (Your Stomach Is In)
67,Paul Revere and The Raiders,Just Like Me
68,Deon Jackson,Love Makes The World Go Round
69,Crispian St. Peters,The Pied Piper
70,Brenda Lee,Coming On Strong
71,Ray Conniff and The Singers,Somewhere My Love
72,David Houston,Almost Persuaded
73,Bobby Darin,If I Were A Carpenter
74,Marvelettes,Don't Mess With Bill
75,Neil Diamond,"Cherry, Cherry"
76,Lee Dorsey,Working In The Coal Mine
77,Dionne Warwick,Message To Michael
78,Lou Rawls,Love Is A Hurtin' Thing
79,Beach Boys,Barbara Ann
80,Shadows Of Knight,Gloria
81,Supremes,My World Is Empty Without You
82,Bob Dylan,Rainy Day Women #12 And 35
83,Sandpipers,Guantanamera
84,Wilson Pickett,"Land Of 1,000 Dances"
85,Shades Of Blue,Oh How Happy
86,Peter and Gordon,Woman
87,Turtles,You Baby
88,Vogues,Five O'clock World
89,Los Bravos,Black Is Black
90,Beatles,Nowhere Man
91,Herman's Hermits,Dandy
92,Slim Harpo,Baby Scratch My Back
93,Gary Lewis and The Playboys,She's Just My Style
94,Chris Montez,The More I See You
95,Bobby Fuller Four,I Fought The Law
96,Beatles,Yellow Submarine
97,Paul Revere and The Raiders,Hungry
98,Herb Alpert and The Tijuana Brass,Zorba The Greek
99,Yardbirds,Shapes Of Things
100,Wilson Pickett,634-5789